"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ANGPT1",26.4048855025365,0.00527714036241724,0.0486331150045171,0.301779208367387,0.907282629979394
"ANK1",25.7576671610154,-0.000935918879466691,0.0482173151975352,0.853093623303973,0.985858007379432
"ANK2",913.071666786329,-0.0019190003892077,0.0467387915391358,0.836055316849891,0.985858007379432
"ANK3",1279.48444854143,0.00160621932403735,0.0465621157699128,0.921681339509235,0.990827784302068
"ANKAR",53.0329457650963,-0.0011417535882037,0.0480569939250669,0.859230882973833,0.985858007379432
"ANKDD1A",560.5460306064,0.00177551873522226,0.0480571958020249,0.796841658887698,0.983726497130201
"ANKFN1",117.541279749219,-0.0109876301902073,0.049637660560876,0.17447009200162,0.864326501111942
"ANKFY1",112.545144930812,-0.00718935376107065,0.048830044330214,0.263995619088125,0.89424267109572
"ANKH",324.7631545994,-0.00504550655776334,0.0482860570471931,0.497612168986337,0.961058922938625
"ANKHD1",96.4828981613091,-0.683530599587049,0.358594635665229,0.0013207443777863,0.405187757062896
"ANKHD1-EIF4EBP3",102.137437671923,-0.728838113676377,0.335015831145522,0.000818035792408772,0.322817374579312
"ANKIB1",325.365529040232,0.00190548880535474,0.0473169647623286,0.856971902910896,0.985858007379432
"ANKMY1",108.854978704561,-0.0074483481187088,0.0487636216103713,0.511724423991643,0.961871528452709
"ANKMY2",48.5141783640306,-0.00142987890521399,0.0482760786024932,0.761274943963734,0.98199427166359
"ANKRA2",49.4976214264682,0.0046337202428959,0.0486119929034629,0.290078888657083,0.905210186397514
"ANKRD10",85.9845057069645,0.00437891353462512,0.0484494248683019,0.435131317125071,0.946406867491456
"ANKRD11",258.732985048606,-0.0107832898873877,0.0494063350912387,0.221854797430477,0.879993757807423
"ANKRD12",250.229766045963,-0.00866549590836561,0.0488922929954885,0.292901162626637,0.905210186397514
"ANKRD13C",168.04611487677,-0.0142107176698338,0.0503896725264948,0.167916538446919,0.859063687639948
"ANKRD16",37.6243747694125,0.00653353921294125,0.048722385960315,0.301573890350728,0.907282629979394
"ANKRD17",464.448619682163,-0.0118024872657801,0.0497802400152714,0.174790393813612,0.864326501111942
"ANKRD19",113.932787349333,0.00237356402993187,0.048197051291311,0.690205961981116,0.979381316738632
"ANKRD20A2",47.0048936757597,0.00897900474743129,0.0495300027105062,0.041139719706529,0.683568921650063
"ANKRD20A3",47.0048936757597,0.00897900474743129,0.0495300027105062,0.041139719706529,0.683568921650063
"ANKRD20B",47.5433434154704,0.00217012336991801,0.0481511623579122,0.728720834238165,0.980409466573549
"ANKRD26",165.353194229554,0.00561839044731347,0.0481116717404918,0.528183569373988,0.962843297551762
"ANKRD26P1",14.2253221932695,-0.00901217290073677,0.0495222575098796,0.920349104108685,0.990827784302068
"ANKRD27",36.2907739430173,-0.00304058923607354,0.048278782908084,0.596023850287201,0.966100407882324
"ANKRD28",236.261709979403,-0.00870783234226812,0.0488574642601119,0.308630177307017,0.908748018552414
